//Motor_Max=30.0,Motor_Min=-25.0,Battery_Max=30.0,Battery_Min=-12.0,Cutoff_Start=30.0,Cutoff_End=28.0,Temp_Start=85.0,Temp_End=100.0,Watt_Max=15000,Speed_Limit=25.0,Wheelsize=80,Motor_Teeth=15,Wheel_Teeth=36,Motor_Poles=14,Battery_Cells=10,Battery_Wh=300,Vesc_Count=2,Speed_Unit=0
Time,TempPcb,MotorCurrent,BatteryCurrent,DutyCycle,Speed,InpVoltage,AmpHours,AmpHoursCharged,WattHours,WattHoursCharged,Distance,Power,Fault,TimePassedInMs,Latitude,Longitude,Altitude,GPSSpeed
20_09_2022_15_43_12.038,28.7,7.58,2.24,43,15.7,37.0,0.005,0.000,0.194,0.000,0.194,83,0,188,0.0,0.0,0.0,0.0
20_09_2022_15_43_13.126,28.7,1.38,0.68,57,24.0,37.1,0.005,0.000,0.203,0.000,0.201,25,0,1276,0.0,0.0,0.0,0.0
20_09_2022_15_43_13.913,28.8,1.32,0.64,57,24.0,37.2,0.005,0.000,0.204,0.000,0.206,24,0,2063,0.0,0.0,0.0,0.0
20_09_2022_15_43_14.401,28.8,1.34,0.66,57,24.0,37.1,0.005,0.000,0.205,0.000,0.210,24,0,2551,0.0,0.0,0.0,0.0
20_09_2022_15_43_14.926,28.9,1.36,0.66,58,24.0,37.1,0.005,0.000,0.207,0.000,0.213,24,0,3076,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.075,28.9,1.34,0.66,58,24.2,37.1,0.006,0.000,0.207,0.000,0.214,24,0,3225,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.262,28.9,1.30,0.64,58,24.1,37.1,0.006,0.000,0.208,0.000,0.215,24,0,3412,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.450,28.9,1.30,0.64,58,24.2,37.1,0.006,0.000,0.208,0.000,0.216,24,0,3600,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.601,28.9,1.18,0.58,58,24.2,37.1,0.006,0.000,0.208,0.000,0.218,22,0,3751,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.789,28.9,1.26,0.62,58,24.2,37.1,0.006,0.000,0.209,0.000,0.219,23,0,3939,0.0,0.0,0.0,0.0
20_09_2022_15_43_15.977,29.0,1.28,0.64,58,24.2,37.1,0.006,0.000,0.209,0.000,0.220,24,0,4127,0.0,0.0,0.0,0.0
20_09_2022_15_43_16.426,29.0,1.16,0.56,58,24.3,37.1,0.006,0.000,0.210,0.000,0.223,21,0,4576,0.0,0.0,0.0,0.0
20_09_2022_15_43_17.213,29.1,1.18,0.58,58,24.3,37.2,0.006,0.000,0.212,0.000,0.228,22,0,5363,0.0,0.0,0.0,0.0
20_09_2022_15_43_17.402,29.1,0.94,0.46,54,24.0,37.3,0.006,0.000,0.212,0.000,0.230,17,0,5552,0.0,0.0,0.0,0.0
20_09_2022_15_43_17.888,29.1,0.00,0.00,34,15.6,37.3,0.006,0.000,0.212,0.000,0.232,0,0,6038,0.0,0.0,0.0,0.0
20_09_2022_15_43_18.975,29.1,0.00,0.00,1,0.8,37.3,0.006,0.000,0.212,0.000,0.235,0,0,7125,0.0,0.0,0.0,0.0
20_09_2022_15_43_19.162,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,7312,0.0,0.0,0.0,0.0
20_09_2022_15_43_19.313,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,7463,0.0,0.0,0.0,0.0
20_09_2022_15_43_19.500,29.1,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,7650,0.0,0.0,0.0,0.0
20_09_2022_15_43_19.988,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,8138,0.0,0.0,0.0,0.0
20_09_2022_15_43_20.175,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,8325,0.0,0.0,0.0,0.0
20_09_2022_15_43_20.364,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,8514,0.0,0.0,0.0,0.0
20_09_2022_15_43_20.513,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,8663,0.0,0.0,0.0,0.0
20_09_2022_15_43_20.700,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,8850,0.0,0.0,0.0,0.0
20_09_2022_15_43_20.894,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,9044,0.0,0.0,0.0,0.0
20_09_2022_15_43_21.075,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,9225,0.0,0.0,0.0,0.0
20_09_2022_15_43_21.225,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,9375,0.0,0.0,0.0,0.0
20_09_2022_15_43_21.413,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,9563,0.0,0.0,0.0,0.0
20_09_2022_15_43_21.562,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,9712,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.050,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,10200,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.238,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,10388,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.463,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,10613,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.613,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,10763,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.800,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,10950,0.0,0.0,0.0,0.0
20_09_2022_15_43_22.987,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,11137,0.0,0.0,0.0,0.0
20_09_2022_15_43_23.138,29.1,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,11288,0.0,0.0,0.0,0.0
20_09_2022_15_43_23.342,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,11492,0.0,0.0,0.0,0.0
20_09_2022_15_43_23.514,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,11664,0.0,0.0,0.0,0.0
20_09_2022_15_43_23.700,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,11850,0.0,0.0,0.0,0.0
20_09_2022_15_43_24.150,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,12300,0.0,0.0,0.0,0.0
20_09_2022_15_43_24.338,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,12488,0.0,0.0,0.0,0.0
20_09_2022_15_43_24.524,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,12674,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.012,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,13162,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.200,29.1,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,13350,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.350,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,13500,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.538,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,13688,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.724,29.1,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,13874,0.0,0.0,0.0,0.0
20_09_2022_15_43_25.876,29.1,0.00,0.00,0,0.0,37.2,0.006,0.000,0.212,0.000,0.236,0,0,14026,0.0,0.0,0.0,0.0
20_09_2022_15_43_26.062,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,14212,0.0,0.0,0.0,0.0
20_09_2022_15_43_26.249,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,14399,0.0,0.0,0.0,0.0
20_09_2022_15_43_26.400,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,14550,0.0,0.0,0.0,0.0
20_09_2022_15_43_26.888,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,15038,0.0,0.0,0.0,0.0
20_09_2022_15_43_27.075,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,15225,0.0,0.0,0.0,0.0
20_09_2022_15_43_27.300,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,15450,0.0,0.0,0.0,0.0
20_09_2022_15_43_27.750,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,15900,0.0,0.0,0.0,0.0
20_09_2022_15_43_27.937,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16087,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.126,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16276,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.275,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16425,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.462,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16612,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.688,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16838,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.838,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16988,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.025,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17175,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.212,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17362,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.363,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17513,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.550,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17700,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.737,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17887,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.925,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18075,0.0,0.0,0.0,0.0
20_09_2022_15_43_30.113,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18263,0.0,0.0,0.0,0.0
20_09_2022_15_43_30.562,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18712,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.056,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19206,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.238,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19388,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.388,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19538,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.875,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20025,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.063,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20213,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.250,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20400,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.400,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20550,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.589,29.0,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,20739,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.776,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20926,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.963,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21113,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.113,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21263,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.602,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21752,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.789,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21939,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.976,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22126,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.163,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22313,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.314,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22464,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.801,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22951,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.288,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,23438,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.776,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,23926,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.963,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24113,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.115,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24265,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.301,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24451,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.489,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24639,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.676,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24826,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.826,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24976,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.014,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25164,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.501,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25651,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.689,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25839,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.176,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26326,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.327,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26477,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.514,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26664,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.701,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26851,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.889,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27039,0.0,0.0,0.0,0.0
